,Transit excluding GO rail,Cycle,Auto driver,GO rail only,Joint GO rail and local transit,Motorcycle,Other,Auto passenger,School bus,Taxi passenger,Paid rideshare,Walk
42,1478,0,30479,2477,1653,47,0,2826,456,0,0,0
43,1390,0,28454,2702,772,67,0,3920,43,34,0,21
44,1680,22,23395,2424,1277,48,28,2668,155,0,27,0
45,1139,33,23494,1813,818,0,0,2990,177,15,0,0
46,939,0,23477,1798,867,0,40,2452,208,0,34,29
47,851,0,22268,1503,1058,0,0,2148,23,0,14,0
48,515,0,20898,1264,790,0,0,2922,80,0,34,0
49,814,0,19114,1323,726,30,0,1931,19,43,0,0
50,365,0,18307,1317,731,0,36,2309,26,33,0,0
51,236,0,18618,1005,456,18,26,2815,106,53,16,63
52,374,0,16696,1221,510,32,27,1887,88,33,69,71
53,506,0,16703,1285,414,50,0,2122,31,0,0,0
54,536,0,16216,1402,826,0,0,1496,91,0,28,0
55,404,0,16063,1280,450,0,0,2073,245,0,27,0
56,494,33,13853,673,322,0,0,2394,22,34,0,17
57,564,0,13763,509,498,0,52,2726,211,23,0,0
58,568,0,11703,652,231,18,0,1859,30,95,0,176
59,613,0,10944,568,711,0,0,1500,86,0,0,93
60,596,35,12443,566,468,0,26,1353,84,17,0,86
61,664,0,12230,232,459,0,10,1612,11,0,40,0
62,760,98,10723,565,340,38,0,2126,45,26,18,56
63,638,0,10523,374,312,0,0,1629,0,46,70,0
64,686,0,11058,666,295,10,0,1430,0,17,0,0
65,452,0,10367,347,144,0,27,1614,97,0,0,0
66,227,0,9519,462,255,0,0,1167,33,13,0,0
67,237,0,8894,304,24,0,0,1409,0,0,0,4
68,429,0,6653,255,17,50,12,986,56,150,21,0
69,402,0,6249,114,208,0,0,1382,27,0,0,0
70,170,0,6742,246,273,17,58,684,0,19,0,0
71,392,0,6515,107,44,49,0,1338,89,0,0,0
72,427,0,6002,52,28,0,0,1090,0,9,0,0
73,147,0,6102,28,94,16,0,1180,91,0,0,79
74,271,0,6250,113,104,0,14,1200,45,0,0,27
75,105,48,6166,75,48,0,31,1356,0,15,0,0
76,49,0,5688,0,0,0,0,1347,9,6,0,9
77,90,0,5679,39,14,0,0,940,14,18,0,0
78,287,0,5137,58,107,0,0,851,0,8,0,61
79,121,53,4658,136,25,19,0,1007,80,25,0,0
80,290,0,5644,102,67,0,0,1103,119,18,0,0
81,217,0,4428,159,30,0,0,783,93,26,0,0
82,158,0,3849,195,18,0,0,767,0,0,0,0
83,81,0,3569,130,268,0,0,446,77,40,16,0
84,246,0,3591,53,32,0,45,465,0,0,0,0
85,141,10,3061,204,10,14,0,670,41,0,0,123
86,39,0,3704,87,96,0,0,559,42,0,0,88
87,155,0,3204,163,25,10,12,504,11,0,53,0
88,475,0,2707,56,16,0,0,683,0,0,0,16
89,48,0,2424,42,36,0,0,276,143,0,0,81
90,235,0,2794,24,5,0,0,523,103,0,0,0
91,337,0,2973,72,39,0,0,530,22,0,0,0
92,261,0,2381,76,102,0,0,707,37,0,0,0
93,121,0,1625,6,16,0,0,399,0,0,0,66
94,161,0,2242,154,67,0,0,527,0,0,24,61
95,153,0,2113,30,83,0,0,402,23,0,24,0
96,126,0,1574,73,12,0,0,685,0,0,44,0
97,77,0,2520,23,36,0,0,493,54,0,0,115
98,27,0,1789,12,82,0,0,599,0,0,0,0
99,90,299,1597,33,16,0,0,359,0,0,0,0
100,42,0,1487,0,30,0,0,467,0,0,0,0
101,17,0,1693,0,15,0,0,410,43,0,0,0
102,232,0,1650,0,0,0,0,615,0,0,0,0
103,233,0,1056,0,0,0,0,185,48,23,0,83
104,114,0,1367,70,0,0,0,248,0,0,0,0
105,104,0,1565,0,0,0,0,469,0,0,0,0
106,53,0,1680,73,0,0,0,280,0,0,25,0
107,112,0,1202,0,18,11,0,281,133,0,0,0
108,27,0,1747,11,0,0,0,385,0,0,0,0
109,16,0,1516,10,0,0,0,322,0,0,0,0
110,15,0,1414,0,0,0,15,321,33,0,0,31
111,91,0,1097,0,22,0,0,462,0,0,0,0
112,0,0,1371,11,28,0,0,123,89,0,0,46
113,51,0,1177,21,0,0,0,232,24,0,0,0
114,68,0,1452,0,0,0,0,411,0,0,0,0
115,25,0,1061,27,0,161,0,376,0,0,0,0
116,187,0,619,0,0,0,8,229,0,16,0,0
117,0,0,794,0,0,0,0,240,0,0,0,0
118,5,0,1080,0,17,0,0,133,0,0,0,0
119,0,0,913,10,0,0,0,145,0,0,0,0
120,0,0,1036,0,0,0,9,245,23,92,0,0
121,0,0,772,0,0,0,0,136,0,0,0,0
122,0,0,970,0,0,0,0,369,0,0,0,0
123,59,0,901,0,0,0,0,647,0,0,0,0
124,16,0,1032,0,0,35,0,394,31,0,0,0
125,25,0,611,0,0,7,0,619,0,0,0,0
126,0,0,727,0,0,7,0,109,0,0,0,0
127,0,0,474,10,0,0,26,209,0,0,0,0
128,26,0,775,0,0,0,0,152,18,0,0,0
129,9,0,449,0,0,0,0,112,103,0,0,0
130,54,0,493,0,0,0,0,169,57,0,0,0
131,0,0,573,0,0,0,0,292,0,0,0,0
132,0,0,557,0,0,0,0,316,106,13,0,0
133,47,0,555,0,0,0,0,244,39,0,0,0
134,0,0,412,0,0,0,0,101,0,93,0,0
135,66,0,358,0,0,0,40,99,17,0,0,0
136,9,0,371,0,0,0,0,71,0,0,0,35
137,0,0,351,11,0,0,21,170,0,0,0,0
138,0,0,564,0,0,0,0,101,0,0,0,0
139,0,0,664,0,0,0,0,202,0,0,0,0
140,0,0,333,0,0,0,0,256,0,0,0,0
141,0,0,381,0,0,0,0,322,0,0,0,0
142,49,0,404,0,0,0,0,247,29,0,0,0
143,0,0,563,0,0,0,0,151,0,0,0,32
144,15,0,452,0,0,0,0,140,0,0,0,0
145,0,0,515,0,5,0,0,111,0,0,0,73
146,0,0,471,0,0,0,0,217,0,0,0,0
147,36,0,490,0,34,0,0,86,0,0,0,0
148,0,0,217,0,0,0,0,101,0,0,0,0
149,0,0,265,0,0,0,0,88,0,0,0,0
150,0,0,389,0,0,0,0,117,0,0,0,0
151,0,0,497,0,0,0,0,236,0,0,0,0
152,0,0,355,0,0,0,0,123,9,0,0,0
153,0,0,280,0,0,0,0,31,0,0,0,0
154,0,0,322,0,0,0,0,34,0,0,0,0
155,11,0,353,0,0,0,0,117,0,0,0,0
156,0,0,202,0,0,0,0,31,0,0,0,0
157,0,0,255,0,0,0,0,54,0,0,0,0
158,0,0,151,0,0,0,0,52,0,0,0,0
159,0,0,227,0,0,0,0,126,0,0,0,0
160,23,0,338,0,0,0,0,34,0,0,0,0
161,0,0,280,0,0,0,0,218,0,0,0,0
162,0,0,221,0,0,0,0,71,0,0,0,0
163,52,0,327,0,0,0,0,236,0,0,0,0
164,136,0,272,0,0,0,0,128,0,0,0,0
165,0,0,147,0,0,0,0,83,0,0,0,0
166,0,0,127,0,0,0,0,71,0,0,0,0
167,17,0,288,0,0,0,40,68,0,0,0,0
168,0,0,461,0,0,0,0,122,0,0,0,0
169,10,0,330,0,0,0,0,115,0,0,0,0
170,19,0,209,0,0,0,0,108,41,0,0,0
171,62,0,161,0,0,0,0,96,0,0,0,0
172,13,0,297,0,0,0,0,19,56,0,0,0
173,39,0,334,0,0,0,0,114,0,0,0,0
174,57,0,85,0,0,19,0,45,15,0,0,0
175,0,0,182,0,0,0,0,225,20,0,0,0
176,0,0,362,0,0,0,17,72,0,0,0,0
177,0,0,191,0,0,0,30,55,0,0,0,0
178,0,0,392,0,0,0,0,235,0,0,33,0
179,0,0,305,0,0,0,0,43,0,0,0,0
180,0,0,364,0,0,0,0,155,0,0,0,0
181,0,0,119,0,0,0,0,13,0,0,0,0
182,30,0,325,0,0,0,0,41,0,0,0,0
183,0,0,184,0,0,0,0,39,0,0,0,0
184,0,0,272,0,0,0,0,141,0,0,0,0
185,0,0,152,0,0,0,0,88,0,0,0,0
186,0,0,220,0,0,0,0,24,0,0,0,0
187,0,0,57,0,0,0,0,37,0,0,0,0
188,0,0,101,0,0,0,0,59,0,0,0,0
189,0,0,78,0,0,0,17,42,0,0,0,0
190,0,0,139,0,0,0,0,125,0,0,0,0
191,30,0,112,0,0,0,0,25,0,0,0,0
192,0,0,142,0,0,0,0,11,0,0,0,0
193,0,0,104,0,0,0,0,34,0,0,0,0
194,0,0,106,0,0,0,0,0,0,0,0,0
195,0,0,144,0,0,0,0,26,0,0,0,0
196,0,0,117,0,0,0,0,96,0,0,0,0
197,46,0,62,0,0,0,0,39,0,0,0,0
198,0,0,234,0,0,0,0,116,0,0,0,0
199,0,0,5,0,0,0,0,5,0,0,0,0
200,0,0,390,0,0,0,0,11,0,0,0,0
201,0,0,189,0,0,0,0,108,0,0,0,0
202,0,0,63,0,0,0,0,35,0,0,0,0
203,0,0,83,0,0,0,0,22,0,0,0,0
204,0,0,191,0,0,0,0,36,0,0,0,0
205,0,0,93,0,22,0,0,27,0,0,0,0
206,0,0,198,12,0,0,0,94,0,0,0,0
207,0,0,297,0,0,0,0,158,0,0,0,0
208,0,0,124,0,0,0,0,98,0,0,0,0
