dauid,population,pop_in_low_inc_hhld_LICO
35203373,345,35
35203370,621,130
35203371,1728,560
35203362,314,30
35203363,344,10
35203361,524,65
35204334,321,35
35204335,637,335
35204593,817,265
35204333,2930,990
35204327,461,95
35204328,467,90
35204325,646,160
35204326,1330,385
35204042,1680,210
35204324,533,105
35204331,1324,575
35204041,2333,455
35204329,3223,815
35204330,1615,565
35202504,619,120
35202507,383,75
35202502,383,95
35202503,550,150
35204550,422,65
35202501,984,195
35202499,650,165
35202500,486,115
35202497,445,75
35202498,585,120
35202495,376,45
35202496,592,110
35202806,919,90
35202494,447,45
35202487,287,20
35202805,641,90
35202485,298,35
35202486,432,45
35203291,976,390
35203292,360,40
35203289,695,75
35203290,572,140
35203287,425,50
35203288,1050,85
35203285,505,40
35203286,667,230
35203283,572,40
35203284,407,30
35204033,2035,660
35203294,619,50
35204032,1512,255
35204551,399,35
35202508,488,105
35202509,520,105
35204594,1180,440
35204339,802,90
35204338,365,50
35204336,486,35
35204337,637,210
35204084,3131,555
35202669,1051,175
35202492,387,45
35202493,348,40
35202491,549,80
35204321,2246,565
35204318,551,65
35204319,596,70
35204315,599,105
35204317,1886,655
35204313,1552,350
35204314,1333,365
35204305,1175,260
35204306,3366,855
35204307,1203,400
35204309,379,55
35202483,1380,125
35202484,266,45
35202482,510,75
35204592,2007,825
35202480,470,55
35202481,434,55
35204549,378,55
35204323,520,95
35204097,2141,325
35204510,554,35
35204095,1727,160
35204096,2172,655
35204092,855,60
35204093,2601,635
35204090,1165,160
35204091,1381,510
35204088,2622,660
35204089,893,145
35204085,2824,875
35204087,2059,790
35204586,486,105
35204585,867,155
35204373,1903,305
35204374,568,70
35204057,1236,405
35204384,770,85
35204385,647,45
35204382,2090,480
35204383,721,75
35204052,2257,860
35204053,2360,410
35204049,6531,850
35202808,523,105
35204047,1300,95
35203720,589,15
35203721,400,5
35204303,470,55
35204304,477,30
35204094,3378,1145
35204082,1617,470
35204083,2134,595
35204587,284,40
35204081,2765,675
35204079,2959,485
35204080,1736,315
35204054,1190,320
35204055,2240,740
35203150,484,20
35203152,607,40
35203146,1000,80
35203147,891,90
35203143,558,140
35203144,544,160
35202744,523,100
35203142,478,20
35204322,476,80
35203141,442,5
35203139,530,20
35203140,752,20
35204591,1273,240
35203138,392,20
35203137,757,50
35203149,1085,95
35203148,483,25
35203136,469,60
35203711,385,40
35203135,496,20
35204371,3688,1380
35204372,1261,520
35204369,418,75
35204370,1489,305
35204366,482,345
35204367,2954,1445
35204364,1141,460
35204365,521,35
35204077,1531,340
35204381,1416,230
35204075,2009,325
35204076,1437,320
35204379,398,25
35204380,2622,535
35204039,1166,190
35204040,839,50
35204036,2344,190
35204038,915,105
35204035,3348,400
35202522,508,90
35203712,400,40
35204034,791,75
35204377,474,50
35204378,481,65
35204375,612,40
35204376,492,50
35202666,2063,405
35203153,601,30
35203154,501,15
35203757,560,50
35203129,394,85
35204363,635,30
35203756,491,80
35203151,477,10
35203127,905,115
35203128,367,45
35203113,272,10
35203126,608,45
35203111,550,45
35203112,459,10
35203110,576,10
35203293,184,
35203732,656,25
35203056,1018,250
35203731,1669,70
35203729,395,25
35203730,465,25
35203077,344,20
35203074,567,75
35203075,711,175
35203072,400,70
35203073,364,45
35203064,497,70
35203071,361,50
35203060,280,35
35203061,637,75
35203058,590,65
35203059,302,25
35203134,405,105
35203057,1054,235
35203132,476,100
35203133,336,85
35203786,691,35
35203131,1258,305
35203762,541,30
35203766,1286,565
35203760,450,15
35203761,439,15
35203758,462,25
35203759,414,35
