dauid,population,pop_in_low_inc_hhld_LICO
35201134,521,110
35201131,666,50
35201132,721,115
35201129,576,70
35201130,363,45
35200602,456,40
35201128,417,40
35200600,434,25
35200601,415,50
35200598,403,115
35200599,547,95
35203005,577,15
35204778,748,200
35202638,523,20
35203004,597,20
35202636,488,15
35202637,528,25
35204893,273,10
35202630,536,65
35202306,505,30
35202307,427,40
35204711,1981,120
35204712,1240,85
35202269,909,55
35201420,468,50
35202267,706,120
35202268,614,60
35202265,921,155
35202266,664,150
35202263,649,120
35202264,686,95
35202261,520,25
35202262,739,200
35202256,514,30
35202257,576,75
35202254,460,20
35202255,490,50
35202251,467,75
35202252,355,40
35202248,449,50
35202249,317,55
35202327,566,30
35202328,548,20
35202325,672,20
35202326,528,30
35202323,438,45
35202324,383,30
35201387,641,120
35201388,623,65
35202345,772,80
35202346,590,125
35202343,515,20
35202344,545,30
35202341,538,10
35202342,1009,110
35200597,370,30
35202340,470,30
35200595,467,20
35200596,615,100
35200593,740,60
35200594,516,45
35202322,520,65
35200591,578,35
35202316,949,200
35202321,551,65
35202310,436,15
35202311,507,95
35202304,634,25
35202305,667,80
35202302,506,35
35202303,461,40
35202300,518,65
35202301,545,80
35202629,452,55
35202299,531,30
35202309,629,30
35201421,352,65
35202627,394,40
35202628,1647,345
35204714,1182,100
35204715,1276,110
35200018,497,220
35200969,486,90
35200012,503,35
35200013,59,
35200010,274,30
35201080,452,80
35201081,389,40
35201078,938,110
35201079,564,40
35200581,375,50
35201077,446,45
35203255,539,45
35203256,544,65
35203253,462,30
35203254,430,65
35203251,529,95
35203252,585,50
35203249,535,40
35203250,584,75
35203247,637,50
35200568,497,20
35203998,869,60
35203246,418,25
35200896,354,130
35200899,427,220
35200894,518,280
35200895,551,225
35200892,631,160
35200893,290,115
35201010,725,150
35201011,320,40
35201008,394,50
35201009,414,60
35200032,692,60
35200033,471,30
35201017,405,90
35201018,424,65
35200907,430,70
35201016,563,115
35200905,511,95
35200906,1231,210
35200902,674,425
35200903,400,135
35200900,491,70
35200901,403,70
35200992,398,50
35200993,280,55
35200990,520,90
35200991,428,55
35200988,603,70
35200989,640,100
35200986,512,55
35200987,538,85
35200983,342,25
35200985,427,65
35200979,525,20
35200981,467,110
35200976,844,145
35200977,581,160
35200974,777,110
35200975,424,80
35203217,559,70
35203218,614,90
35200566,529,45
35203216,456,245
35200564,584,40
35200565,528,60
35200562,521,40
35200563,480,40
35201438,530,65
35201439,551,100
35202293,467,60
35202294,376,10
35202289,303,5
35202290,1405,285
35202287,422,30
35202288,318,30
35202285,1518,95
35202286,309,15
35202283,543,70
35202284,541,55
35202282,463,65
35201436,556,200
35202280,196,
35202281,597,120
35204134,770,70
35204135,1576,380
35204131,997,240
35204133,1249,490
35204129,1359,555
35200567,578,55
35203937,436,55
35203938,362,40
35200890,588,240
35200891,332,75
35200898,562,175
35203243,468,30
35203242,569,20
35200897,632,280
35203240,826,45
35203241,537,70
35203238,478,25
35203239,665,105
35203236,642,45
35203237,616,45
35203234,704,95
35203235,569,40
35203232,704,90
35203233,642,60
35200876,436,90
35203231,745,85
35200869,663,180
35200870,1887,315
35200867,928,475
35200868,409,160
35200865,687,225
35200866,436,95
35200863,411,210
35200864,406,105
35203224,461,30
35203225,479,75
35203221,552,55
35203222,565,95
35203219,386,75
35203220,398,85
35200827,415,65
35200828,558,185
35200822,907,80
35200826,1096,230
35200815,657,315
35200821,637,110
35200813,328,55
35200814,1089,415
35200810,466,180
35200811,981,310
35203933,1127,240
35200809,258,
35200812,508,125
35203932,473,80
35201031,772,185
35201032,556,255
35201029,894,200
35201030,463,85
35201027,688,145
35201028,517,125
35204501,473,30
35200541,1192,195
35201036,560,255
35201038,629,125
35201034,340,
35201035,650,130
35203928,826,100
35201033,698,155
35201005,546,85
35203927,720,90
35204502,594,80
35203936,343,60
35203984,752,275
35203986,2268,385
35203980,1872,615
35203981,1507,680
35204125,1538,180
35203979,1343,245
35204120,1287,200
35204121,2298,600
35203248,491,50
35203929,997,190
35203214,394,65
35204124,7607,1650
35203212,423,55
35203213,555,75
35203210,330,35
35203211,334,20
35203208,400,25
35203209,614,195
35203965,1234,575
35203971,1849,510
35203961,3033,680
35203962,697,90
35203921,1095,120
35203960,2596,810
35201435,401,80
35203919,220,
35202279,1280,405
35203917,357,35
35200002,356,25
35200494,379,50
35200960,380,20
35200807,197,
35200808,417,105
35200806,507,110
35200703,631,180
35200704,523,135
35200701,488,70
35200702,577,135
35200699,421,75
35200700,302,45
35200695,601,85
35200696,321,50
35200539,1004,185
35200540,496,85
35200536,998,195
35200538,2241,330
35200913,658,125
35200914,574,80
35200911,375,50
35200912,363,55
35200909,665,140
35200910,596,130
35201003,580,90
35201004,391,80
35201001,571,80
35201002,625,100
35200999,547,105
35201000,720,95
35200997,689,90
35200998,422,50
35200995,301,25
35200996,300,30
35200524,507,50
35200525,446,35
35200522,567,20
35200523,574,90
35203916,762,180
35200521,579,55
35203914,1045,245
35203915,1024,280
35203912,820,255
35203913,352,45
35204130,412,80
35203911,737,165
35203909,362,20
35203910,348,35
35200968,721,415
35203908,1227,225
35200966,417,70
35200967,657,90
35200963,421,80
35200965,384,70
35200961,427,75
35200962,515,110
35204030,1495,260
35200471,1368,245
35200490,350,30
35204029,1076,205
35200488,383,80
35200489,358,80
35200694,577,85
35204028,2478,690
35200692,320,55
35200693,475,60
35200484,748,275
35200561,782,55
35200482,426,55
35200483,451,75
35200542,502,95
35200545,257,
35200481,401,30
35200304,683,120
35200302,918,175
35200303,250,55
35200300,1232,325
35200301,404,60
35200444,588,40
35200445,384,20
35200442,517,115
35200443,521,75
35200439,396,25
35200440,500,60
35200437,420,70
35200438,582,50
35200435,406,45
35200436,647,165
35200451,332,15
35200908,483,115
35200449,473,45
35200450,422,45
35200518,495,70
35200519,410,65
35200516,449,30
35200517,521,50
35200514,473,45
35200515,476,25
35200512,409,20
35200513,413,25
35200889,661,195
35200511,461,65
35200887,585,140
35200888,737,175
35204500,515,300
35200886,757,230
35200884,519,115
35200885,523,130
35200882,353,55
35200883,450,115
35200428,470,105
35200429,530,160
35200426,474,65
35200427,526,75
35200480,400,40
35200423,576,80
35200478,502,60
35200479,537,45
35200472,636,65
35200475,532,70
35202278,611,100
35200298,1094,130
35202276,672,45
35202277,536,85
35202274,799,145
35202275,595,215
35201909,379,25
35201912,482,275
35201908,515,45
35200492,282,45
35201906,359,30
35201907,455,55
35201904,609,30
35201905,440,60
35203990,1030,75
35201903,1402,265
35203684,1027,125
35203989,1634,245
35203682,754,40
35203683,383,20
35203931,352,55
35200491,474,80
35203876,429,25
35203930,1115,230
35203672,404,45
35203873,257,25
35203669,693,60
35203670,829,70
35203666,428,140
35203668,624,95
35203925,1141,185
35203926,260,20
35203995,1199,315
35203997,999,155
35203993,940,135
35203994,1529,420
35203991,1021,105
35203992,1477,490
35200421,349,25
35200422,539,95
35200418,1059,315
35200420,794,110
35203978,3921,865
35200417,1103,190
35203975,1749,320
35203977,1324,340
35203973,1037,80
35203974,1042,160
35202297,486,40
35203976,1878,435
35202295,526,35
35202296,470,80
35201940,406,15
35201950,502,5
35200493,314,50
35201939,473,40
35201936,463,35
35201937,499,25
35201920,1295,120
35201935,466,40
35201917,440,30
35201919,453,70
35201938,878,85
35201916,532,45
35204499,561,125
35200397,914,265
35203871,460,40
35203872,385,25
35203869,513,55
35203870,471,35
35203867,492,60
35203868,552,45
35203865,525,65
35203866,663,175
35203861,334,60
35203864,644,145
35200534,525,30
35200535,440,105
35200532,439,30
35200533,264,15
35200529,786,35
35200531,685,75
35200291,582,75
35200292,951,210
35203841,525,120
35203842,556,95
35203837,269,15
35203838,479,65
35203835,333,35
35203836,372,55
35203833,503,95
35203834,742,115
35203829,479,50
35203830,578,110
35200506,396,50
35200510,425,55
35203849,584,30
35203922,351,70
35201902,510,70
35203848,547,35
35203846,344,70
35203847,380,135
35203844,617,180
35203845,431,70
35200862,402,85
35201915,379,25
35200860,766,240
35200861,526,130
35200855,1242,180
35200859,323,95
35200833,806,205
35203877,509,175
35200831,590,70
35200832,646,170
35200829,0,
35200830,1252,235
35200412,1675,510
35200413,759,175
35200410,1029,155
35200411,753,115
35200408,517,45
35200409,345,40
35201900,464,60
35201901,421,70
35200794,544,60
35200805,1703,370
35200400,304,40
35200401,449,30
35200683,814,185
35200686,1014,125
35200681,564,95
35200682,434,40
35200679,553,25
35200680,849,85
35200362,555,85
35200678,689,130
35200360,483,95
35200361,386,45
35200358,570,95
35200359,503,100
35200355,540,45
35200357,518,60
35200339,658,320
35200352,1361,450
35200289,618,55
35200290,528,45
35200434,461,40
35200288,429,20
35200219,485,75
35200433,435,55
35200217,412,80
35200218,584,120
35200215,400,40
35200216,677,135
35200432,377,60
35200269,698,45
35200267,1136,140
35200268,558,70
35200265,476,45
35200266,604,60
35200499,934,170
35200505,443,80
35200498,518,110
35200797,428,80
35200495,478,70
35200497,951,335
35200272,2502,790
35200273,3292,1115
35200407,417,45
35200271,1705,495
35200717,471,90
35200718,1410,465
35200715,419,30
35200716,343,40
35200713,447,70
35200714,409,30
35200711,464,60
35200712,749,90
35200709,526,45
35200710,511,50
35200705,969,305
35200708,504,45
35200373,322,30
35200374,606,40
35200396,467,65
35200706,450,35
35200691,282,60
35200395,480,55
35200689,372,60
35200690,409,100
35200687,491,110
35200688,451,70
35203443,479,75
35203441,483,70
35203442,265,30
35203439,607,120
35203440,602,110
35203637,406,35
35203787,709,110
35203820,692,115
35203636,762,80
35203634,536,35
35203819,411,20
35203632,545,15
35203633,417,30
35203513,572,135
35200370,481,15
35200366,695,140
35200368,348,45
35200363,517,90
35200364,1594,405
35200281,529,105
35200139,371,30
35200221,3987,1005
35200138,271,45
35200049,809,135
35200220,434,40
35200047,990,280
35200048,1004,255
35200044,234,
35200046,774,110
35200042,625,70
35200043,572,75
35200079,1276,230
35200080,454,80
35203396,453,75
35200078,755,140
35200209,415,65
35200074,382,85
35200207,238,
35200208,451,55
35200039,314,40
35200206,498,35
35200037,1283,210
35203395,577,50
35200066,483,65
35200067,623,70
35203635,587,35
35201730,415,15
35203416,654,110
35203417,560,55
35203414,533,80
35203415,409,30
35200279,572,40
35200280,961,285
35200275,439,20
35200278,392,25
35200085,357,55
35200086,527,110
35200082,353,45
35200284,912,160
35203401,280,20
35203402,382,55
35203399,535,45
35203400,367,30
35200263,347,25
35200264,503,45
35200261,543,130
35200262,525,55
35200256,635,55
35200260,456,60
35200069,673,80
35200255,529,30
35200187,465,95
35200183,508,95
35200186,627,90
35200371,565,70
35200372,379,20
35203258,523,70
35203259,591,50
35201123,348,30
35200036,273,20
35200034,791,40
35200035,673,55
35203510,415,215
35203511,535,90
35203506,520,60
35203509,802,150
35203504,237,
35203505,509,100
35200030,521,30
35203503,4167,450
35203508,564,25
35204332,545,65
35200029,378,35
35203507,398,50
35203489,646,75
35200028,1174,225
35203484,627,65
35203485,399,35
35201107,814,135
35203483,670,70
35201105,416,60
35201106,561,115
35203486,811,345
35201104,467,65
35201726,423,35
35201728,1283,240
35201724,394,20
35201725,861,70
35200065,412,60
35200068,499,75
35200199,715,30
35200064,660,85
35200197,405,10
35200198,450,50
35200137,609,50
35200031,1142,170
35200136,465,55
35203512,597,110
35200101,1123,220
35200102,892,180
35201122,286,30
35200100,368,55
35201113,493,125
35201114,540,95
35201111,527,65
35201112,464,40
35201109,616,85
35201110,827,120
35201127,576,100
35203527,870,60
35203526,455,30
35201126,333,25
35203524,431,30
35203525,483,45
35203522,812,55
35203523,386,65
35201125,416,30
35203521,1483,65
35203520,2766,1080
35201124,438,65
35203482,2434,175
35204128,3365,1165
35203502,556,105
35203479,427,40
35203480,491,30
35203229,501,35
35203230,655,75
35203226,530,80
35203228,583,75
35204119,1778,395
35203394,857,175
35204117,1979,335
35204118,2724,400
35201442,738,100
35204116,883,505
35200182,397,95
35201441,480,30
35200180,585,140
35200181,352,65
35200178,562,70
35200179,598,65
35200009,293,25
35200177,418,70
35200007,653,65
35201440,502,45
35200005,408,25
35200006,527,40
35204136,1117,300
35202568,925,85
35203630,309,70
35203631,417,30
35201463,1196,275
35201464,778,275
35201460,630,115
35201461,0,
35201453,3777,725
35201459,389,110
35201444,403,85
35201445,368,65
35203257,693,310
35201443,388,70
35203427,582,60
35203435,776,55
35203422,483,70
35203423,578,60
35201448,503,80
35201449,400,55
35203421,740,110
35201447,384,30
35201446,238,
35204139,2304,545
35203498,607,70
35203501,511,55
35203244,413,30
35203245,462,25
35204138,1401,255
35201452,1045,145
35203412,564,60
35203413,401,35
35204137,1430,320
35203411,1441,155
35203409,430,40
35203410,415,60
35200057,248,
35200056,301,35
35201041,840,100
35201039,1281,245
35201040,534,45
35200934,574,250
35200041,902,95
35200932,408,85
35200933,373,80
35200930,460,60
35200931,382,50
35200927,399,65
35200929,373,65
35200925,374,65
35200926,370,65
35200923,341,45
35200924,322,80
35200921,532,95
35200922,522,105
35200919,383,85
35200920,636,80
35200917,355,65
35200918,233,
35200915,726,175
35200916,561,95
35201012,394,60
35201013,338,60
35203628,414,80
35203629,250,25
35204127,1653,410
35201056,490,100
35201048,609,115
35204126,4680,1930
35200073,377,50
35201047,585,80
35200071,436,80
35200072,366,55
35201046,565,140
35200070,556,95
35201025,594,80
35201026,454,105
35201023,684,105
35201024,579,100
35204114,1080,280
35204115,1500,395
35201045,426,110
35204113,1674,180
35204111,2311,660
35201044,568,80
35204109,2005,910
35204110,2139,550
35200003,335,35
35200004,384,40
35200134,727,115
35200135,486,70
35200062,780,105
35201049,787,135
35200133,1134,225
35200058,275,65
35203897,448,185
35203893,519,50
35203895,490,35
35203891,543,65
35203892,560,65
35203889,345,10
35203890,490,25
35202336,524,20
35202337,469,65
35203788,928,75
35200939,402,65
35203651,523,35
35203652,391,45
35203815,635,50
35203650,1477,160
35203812,873,145
35203813,432,10
35203810,543,40
35203811,710,30
35203808,415,15
35203809,414,35
35203803,521,35
35203807,482,140
35203940,702,80
35203802,485,25
35203939,360,45
35203653,689,45
35203898,541,45
35203899,1125,175
35201844,544,60
35200252,561,55
35200250,446,50
35200251,282,40
35200249,492,85
35203260,448,40
35200245,734,95
35200246,421,70
35203700,586,100
35200244,401,45
35203697,355,40
35203698,529,85
35203801,481,35
35203799,705,50
35203800,435,20
35203796,482,125
35203798,438,40
35203794,468,80
35202245,697,70
35200469,485,95
35200470,575,170
35200467,652,65
35200468,581,40
35200253,713,210
35200254,795,60
35202244,504,50
35200877,416,60
35203649,0,
35203542,656,150
35203640,385,40
35203641,325,20
35203472,693,330
35204018,2653,740
35203699,528,65
35202243,641,100
35203695,613,55
35203696,504,40
35203694,523,40
35203545,561,55
35203546,581,95
35203543,572,70
35203544,545,70
35204015,1549,310
35202242,564,105
35201007,369,60
35202241,877,370
35202240,561,70
35200698,303,65
35202239,492,90
35202238,496,75
35201006,580,120
35200697,522,125
35202237,593,120
35203817,645,65
35202395,581,65
35203470,846,145
35203471,590,120
35203468,539,60
35203469,487,95
35203466,1430,270
35203467,466,65
35203393,936,135
35203465,1326,240
35203392,251,
35201609,351,5
35201653,428,30
35201650,391,15
35201652,543,20
35201648,524,30
35201649,521,20
35201641,1710,395
35201647,596,20
35201636,383,5
35200881,408,110
35201634,350,15
35201635,409,25
35201631,743,120
35201632,334,15
35201630,443,15
35202124,538,25
35201629,316,20
35203793,384,
35200054,369,50
35200053,315,45
35200051,467,35
35200052,389,110
35203540,523,50
35203541,801,105
35203538,486,70
35203539,433,65
35203537,523,95
35200878,652,155
35201377,336,55
35200880,505,55
35203388,501,85
35203389,454,70
35203386,631,60
35203387,543,75
35200243,423,40
35203391,426,60
35200239,299,70
35200242,439,35
35200055,463,65
35203463,469,55
35200879,468,85
35203461,614,65
35203462,539,85
35203452,941,230
35203458,565,95
35203451,598,95
35200612,639,30
35201289,370,60
35201288,569,65
35203535,500,45
35203536,436,45
35203534,489,55
35201396,1260,355
35203532,629,55
35203533,451,50
35203281,444,60
35203282,430,35
35203279,648,35
35203280,455,50
35204098,1606,95
35204100,2800,505
35200959,653,55
35200050,1031,140
35200958,779,100
35204101,6906,1645
35204107,881,65
35203190,1387,105
35203185,0,
35204106,1034,540
35200611,526,30
35204103,2446,460
35204105,2248,325
35202416,405,45
35201519,1107,95
35203450,627,70
35200951,611,120
35200957,1193,295
35200955,1359,325
35200956,399,60
35200953,226,
35200954,374,55
35200944,457,80
35200952,1481,235
35200942,596,70
35200943,242,
35200940,285,75
35200941,358,50
35203277,445,30
35203278,491,35
35203275,882,385
35203276,576,75
35203273,1461,90
35203274,773,175
35200950,495,105
35201518,493,25
35203175,2543,305
35203954,7307,1620
35203174,620,55
35203947,2983,555
35203953,1434,240
35203792,721,215
35203946,4226,940
35200949,564,120
35203791,269,30
35203790,503,55
35203951,1657,540
35203948,2715,700
35203270,81,
35203271,523,55
35203268,772,125
35203269,518,55
35203266,443,30
35203267,504,65
35203264,573,70
35203265,466,80
35203261,670,70
35203263,436,35
35204013,2133,250
35204014,3335,530
35203183,556,85
35203184,465,70
35203176,3076,485
35203177,1235,165
35200935,377,75
35200936,316,60
35200466,504,40
35200946,456,60
35200945,507,55
35203789,288,25
35200465,663,85
35200937,399,50
35200938,323,45
35204024,2952,775
35204026,2145,470
35204021,1050,600
35204022,2119,270
35204019,2145,875
35204020,1947,570
35202258,492,35
35203704,402,25
35203701,417,110
35203703,541,45
35203958,1124,265
35203959,1931,825
35203955,1548,120
35204009,1189,210
35203654,478,55
35204006,805,290
35204007,1776,135
35204005,1554,110
35204003,665,225
35204004,3291,525
35203693,583,65
35204001,1079,250
35203945,1370,155
35203692,528,35
35203943,574,30
35203655,434,20
35200463,548,140
35200464,659,85
35200455,407,15
35200456,835,180
35200453,670,30
35200454,724,110
35204012,860,85
35200460,525,125
35204010,1376,195
35204011,1504,570
35200459,328,35
35201517,538,15
35204027,1322,265
35201285,528,45
35201286,205,
35201283,410,40
35201284,382,30
35201279,489,40
35201280,484,45
35201267,482,55
35201278,509,35
35201263,367,45
35201264,786,75
35201257,294,30
35201259,446,95
35201249,524,70
35201602,388,15
35201241,616,55
35201244,265,25
35201228,375,45
35201240,343,35
35201219,974,150
35201222,365,35
35201281,478,30
35201217,653,235
35201242,684,255
35201243,402,25
35201216,549,70
35202453,643,80
35201287,409,50
35201568,527,85
35201315,601,30
35201316,626,55
35201313,466,50
35201314,535,55
35201298,967,55
35201312,1109,100
35201297,897,70
35201294,511,20
35201295,578,30
35201292,551,15
35201293,513,35
35201290,388,40
35201291,689,60
35201014,613,65
35202401,609,45
35202402,556,60
35202400,526,5
35202403,1346,210
35202404,599,115
35202443,1067,155
35201779,2723,820
35202418,435,50
35202414,276,
35202415,439,35
35202407,426,160
35202413,398,20
35202406,911,165
35202399,446,15
35202417,383,60
35202451,622,55
35202452,279,25
35202449,428,40
35202450,305,55
35202447,481,10
35202448,283,30
35201256,391,45
35202446,328,25
35201254,475,80
35201255,379,30
35201252,338,40
35201253,502,65
35201250,812,80
35201251,950,180
35202442,515,90
35202440,445,110
35202441,667,150
35202436,455,110
35202439,503,115
35202431,2821,900
35202433,1836,580
35202419,402,25
35202430,2135,855
35201214,248,
35201215,656,150
35201523,397,25
35201213,416,35
35201521,593,35
35201522,513,70
35202405,610,85
35201520,617,60
35201567,507,55
35201066,615,75
35202161,884,65
35202409,636,100
35200580,497,20
35202408,587,75
35202127,548,60
35202128,681,40
35202100,391,40
35202098,1652,285
35202097,465,155
35202094,407,15
35202096,989,295
35202090,459,110
35202091,551,65
35202086,1349,280
35202087,719,275
35202080,499,50
35202085,1212,270
35202078,256,45
35202079,301,30
35202071,1099,185
35201065,602,60
35202066,943,155
35202067,258,45
35202059,722,50
35202065,2078,425
35202075,539,35
35201555,605,45
35202159,64,
35202160,464,50
35202157,397,60
35202158,449,20
35202156,584,30
35202154,589,100
35202155,571,65
35202152,2125,360
35202153,506,65
35202141,451,55
35202145,735,135
35202139,540,100
35202140,1766,320
35202151,521,45
35202138,426,35
35202137,564,255
35202150,465,45
35202135,1132,220
35202136,824,335
35201211,475,105
35200579,730,80
35202133,776,35
35202134,728,55
35202131,844,170
35202132,1661,360
35202122,610,25
35202123,625,40
35202129,538,45
35202130,519,60
35202072,416,40
35202396,439,10
35200578,358,20
35202398,1207,95
35202058,965,60
35202394,438,15
35201164,410,55
35202056,1051,130
35202057,1172,165
35202055,1281,400
35201064,640,90
35202050,1370,340
35202051,793,185
35203987,868,110
35202177,585,35
35202149,625,60
35201845,444,35
35201840,574,70
35201841,664,190
35201838,575,105
35201839,459,35
35201843,487,75
35201835,1263,360
35201829,469,35
35201842,599,50
35201827,434,35
35201828,446,30
35201824,445,30
35201825,705,135
35201822,944,175
35201823,422,50
35201820,524,40
35201821,2894,465
35201415,414,45
35201874,1089,260
35201869,421,80
35201872,629,95
35200577,563,40
35201868,764,95
35201863,928,180
35201864,622,80
35201861,426,35
35201862,624,110
35201860,654,110
35202013,1605,740
35202022,420,60
35202020,401,65
35202021,717,195
35201819,400,35
35202147,728,145
35201826,300,25
35201834,444,30
35202126,710,35
35201832,290,25
35201833,461,50
35201830,451,55
35201831,330,25
35202026,484,75
35202084,402,65
35202024,872,120
35202125,763,85
35202018,1354,625
35202023,1465,210
35202016,988,310
35202017,3488,1390
35202019,507,110
35202025,651,65
35201379,508,70
35201378,474,60
35201627,379,40
35201625,575,30
35201626,327,15
35201623,1338,155
35201624,430,20
35201621,298,35
35201622,456,15
35201615,468,0
35201613,398,40
35201614,655,90
35201611,458,15
35201612,382,5
35201610,1313,130
35201380,485,70
35200576,740,20
35204646,402,65
35204647,574,205
35204644,481,15
35204645,493,45
35204643,456,15
35202180,1073,160
35201015,700,105
35200792,702,45
35200783,520,150
35200791,430,25
35200774,454,100
35200782,2267,335
35200771,910,375
35200772,849,165
35200769,448,145
35200770,729,205
35200667,472,45
35200668,325,40
35204521,436,45
35200666,754,45
35202226,464,90
35202227,501,100
35202224,307,40
35202225,406,85
35202235,496,85
35202246,396,45
35202298,401,20
35202234,625,80
35201359,408,60
35201360,667,80
35202215,510,70
35202216,415,50
35202213,560,65
35202214,433,40
35202211,289,10
35202212,551,60
35204524,387,35
35202210,375,
35202188,292,30
35202189,452,65
35202186,433,20
35202187,498,30
35202184,881,120
35202185,192,
35202181,686,105
35202183,523,35
35202179,560,110
35204523,592,75
35204833,2712,635
35204710,1223,105
35204522,442,35
35204653,3023,390
35204650,2552,390
35204652,1113,130
35204648,851,390
35204649,527,190
35204519,504,80
35200658,552,35
35202842,344,100
35200329,378,50
35200659,417,15
35200660,752,35
35202349,453,25
35200328,385,30
35201985,274,25
35201986,390,25
35200747,546,35
35200748,569,50
35200645,474,40
35200746,976,55
35200643,510,70
35200644,478,25
35200665,847,70
35204520,678,190
35202232,559,100
35202233,478,60
35200750,494,25
35202178,665,90
35200749,504,25
35202231,394,75
35200732,601,70
35202230,388,50
35200730,339,30
35200731,463,25
35200728,1060,395
35200729,364,45
35200726,412,20
35200727,508,35
35200724,623,45
35200725,638,55
35200719,961,165
35200720,562,140
35204642,618,55
35201068,768,135
35204640,471,35
35204641,630,35
35204463,573,110
35204464,3113,1125
35204461,521,105
35204462,479,65
35202228,508,45
35204460,539,65
35204458,1517,275
35204470,2394,630
35201983,318,40
35201984,627,195
35201977,1441,425
35201979,531,50
35201970,455,35
35201976,660,60
35201968,388,70
35201969,320,20
35202247,463,80
35201967,260,30
35202368,524,20
35201896,370,30
35200323,1148,365
35201973,756,95
35200321,720,130
35200322,374,90
35201965,614,25
35201966,572,35
35201963,448,30
35201964,466,55
35201961,896,165
35201962,553,70
35201972,1362,225
35202367,717,25
35200641,1015,320
35200642,426,65
35200639,1939,665
35200640,566,115
35200590,500,25
35200324,875,105
35200589,639,40
35202369,555,20
35200587,721,100
35200588,759,155
35200585,449,45
35200586,569,50
35200583,799,220
35200584,498,40
35200318,396,80
35200582,806,120
35200313,0,
35200315,996,120
35200309,635,155
35200310,606,170
35200317,465,130
35202229,449,80
35200316,1542,315
35202623,237,
35204469,1611,255
35202622,437,40
35204467,1128,215
35204468,1959,270
35204465,945,70
35204466,1805,295
35200768,397,105
35201888,890,320
35200756,840,280
35200757,684,155
35200754,726,100
35200755,446,45
35201955,505,120
35201958,601,85
35201952,443,40
35201953,536,60
35202218,443,55
35201951,610,25
35201886,555,75
35202217,409,70
35201884,450,50
35201885,516,105
35201883,710,140
35204656,864,85
35204661,1155,610
35204655,1625,200
35204716,1360,115
35201960,1027,205
35201971,451,40
35204457,524,20
35204708,262,45
35204709,360,75
35201895,421,35
35201894,638,105
35201892,1035,310
35201893,468,65
35201889,640,70
35201890,892,160
35201876,1739,460
35201877,258,25
35200744,893,85
35200745,635,80
35204658,324,50
35200128,727,140
35200332,457,70
35200331,377,35
35204657,1995,720
35200127,820,140
35200325,309,25
35200330,461,45
35200121,510,125
35200123,1004,210
35200120,1031,195
35202222,611,95
35201762,836,25
35200119,302,105
35200381,1089,145
35200382,924,260
35204638,481,5
35204639,553,40
35204636,631,25
35204637,518,25
35204634,595,90
35204635,643,45
35204660,363,75
35202223,599,55
35200753,640,35
35200751,548,35
35200752,386,30
35200391,369,50
35200392,392,35
35204659,656,390
35200389,961,100
35200326,593,65
35200327,318,65
35201881,585,35
35201882,509,50
35201879,380,55
35201880,546,30
35200094,484,85
35200095,541,75
35200734,365,15
35200333,458,55
35200092,775,130
35200093,618,125
35200090,582,110
35200091,524,110
35200733,542,30
35201761,515,20
35201758,540,25
35201759,714,30
35201760,442,15
35200741,635,195
35201887,403,55
35201757,385,20
35201706,471,15
35201707,490,10
35200111,512,90
35201067,421,45
35201755,526,25
35200110,609,170
35201753,254,10
35201754,303,5
35201751,299,10
35201752,267,25
35201750,465,20
35201749,412,25
35200379,558,35
35200380,596,50
35200320,926,320
35200114,1081,290
35200319,496,65
35200112,960,200
35201165,599,70
35204473,461,50
35204471,797,95
35204472,830,85
35204256,287,15
35204254,706,240
35204255,638,115
35204252,561,40
35204253,257,25
35204251,590,55
35204250,1620,265
35200297,401,55
35204249,1964,170
35200294,470,30
35200099,266,70
35200293,2150,245
35200096,219,
35200097,269,35
35201580,357,55
35201586,438,50
35201578,394,50
35201579,1078,130
35201576,396,50
35201577,447,55
35201574,448,45
35201575,670,120
35200740,521,35
35201573,1170,230
35201620,800,45
35201581,731,135
35201616,549,25
35201617,1018,50
35201571,476,50
35201572,464,125
35201569,437,65
35201570,354,90
35201565,464,65
35201566,445,45
35201608,443,15
35201564,422,75
35201605,387,25
35201607,832,95
35201603,459,10
35201604,501,30
35201543,513,35
35201544,464,30
35201541,637,45
35201542,553,35
35201526,1549,135
35201532,456,55
35201723,428,75
35201721,412,75
35201722,1032,205
35201719,512,25
35201720,588,50
35201717,571,85
35201718,503,15
35201713,442,30
35201714,1299,300
35201451,359,40
35201711,463,10
35201712,370,5
35201709,306,10
35201710,436,25
35201585,473,40
35201708,546,15
35201583,738,50
35201584,493,45
35201450,593,65
35201582,366,20
35201558,597,50
35201559,590,170
35201557,499,115
35200994,500,115
35200928,367,70
35201020,520,110
35201781,404,25
35201524,525,35
35201525,473,50
35201552,536,90
35201548,457,40
35201547,641,60
35201545,587,95
35201989,485,90
35201789,984,210
35201987,835,75
35201787,498,30
35201788,415,25
35201988,303,15
35201756,676,35
35201785,617,95
35201786,435,5
35201783,388,25
35201784,888,190
35201563,353,70
35201782,231,
35201556,661,95
35201560,437,95
35201060,391,75
35201059,519,110
35202382,642,30
35201434,552,85
35202381,431,20
35202117,646,80
35201792,383,25
35201793,285,30
35201409,399,60
35201351,445,40
35201598,393,10
35201599,536,25
35201352,413,25
35201597,617,35
35201596,712,30
35201594,420,15
35201595,487,40
35201592,410,15
35201593,370,20
35201590,571,50
35201591,620,60
35201588,608,55
35201589,689,35
35201347,531,75
