"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15"
5350230.02,6537.00,0.99,3115.00,1880.00,175.00,950.00,80.00,10.00,20.00,3115.00,265.00,880.00,930.00,460.00,590.00
5350231.00,6461.00,3.03,2935.00,1925.00,115.00,800.00,60.00,20.00,15.00,2935.00,455.00,795.00,835.00,510.00,340.00
5350232.00,3825.00,2.05,1480.00,1155.00,70.00,215.00,30.00,0.00,10.00,1485.00,200.00,510.00,350.00,265.00,160.00
5350233.00,5530.00,2.08,2565.00,1770.00,120.00,625.00,45.00,0.00,10.00,2565.00,275.00,835.00,660.00,465.00,330.00
5350234.00,4524.00,2.12,1975.00,1400.00,90.00,445.00,25.00,0.00,15.00,1975.00,295.00,685.00,490.00,205.00,295.00
5350235.01,2841.00,1.41,1410.00,1065.00,95.00,215.00,35.00,10.00,0.00,1410.00,300.00,510.00,260.00,115.00,225.00
5350235.02,5277.00,1.08,2545.00,1670.00,155.00,640.00,45.00,15.00,25.00,2545.00,400.00,790.00,575.00,300.00,470.00
5350236.01,6646.00,0.99,3035.00,1785.00,150.00,945.00,115.00,15.00,35.00,3035.00,475.00,870.00,615.00,410.00,665.00
5350236.02,5946.00,3.95,2735.00,1845.00,125.00,645.00,75.00,10.00,35.00,2735.00,410.00,840.00,540.00,390.00,550.00
5350237.01,6816.00,1.19,2625.00,1615.00,180.00,805.00,10.00,0.00,0.00,2625.00,295.00,890.00,620.00,355.00,465.00
5350237.02,2986.00,0.96,1295.00,905.00,55.00,295.00,25.00,0.00,0.00,1295.00,165.00,460.00,345.00,145.00,175.00
5350237.03,5638.00,1.07,2385.00,1490.00,115.00,660.00,75.00,10.00,35.00,2385.00,325.00,845.00,520.00,245.00,450.00
5350238.01,3350.00,1.04,1560.00,1130.00,95.00,305.00,20.00,0.00,15.00,1565.00,210.00,450.00,410.00,245.00,240.00
5350238.02,5244.00,0.98,2405.00,1430.00,105.00,750.00,80.00,10.00,25.00,2400.00,335.00,700.00,650.00,245.00,475.00
5350239.00,6481.00,2.53,2720.00,1650.00,130.00,825.00,75.00,25.00,15.00,2715.00,295.00,890.00,700.00,360.00,480.00
5350240.01,3366.00,1.27,1495.00,1080.00,70.00,315.00,10.00,10.00,15.00,1495.00,160.00,520.00,425.00,180.00,215.00
5350240.02,6043.00,1.05,2375.00,1490.00,80.00,720.00,50.00,0.00,30.00,2375.00,190.00,690.00,735.00,360.00,400.00
5350241.00,3231.00,1.09,1365.00,990.00,65.00,275.00,15.00,10.00,10.00,1365.00,125.00,555.00,355.00,135.00,205.00
5350242.00,1674.00,0.61,605.00,320.00,60.00,205.00,0.00,0.00,15.00,610.00,45.00,160.00,170.00,100.00,135.00
5350243.01,6658.00,0.32,1930.00,1185.00,85.00,565.00,75.00,10.00,10.00,1930.00,355.00,605.00,440.00,185.00,345.00
5350243.02,3617.00,1.22,1780.00,1070.00,130.00,525.00,40.00,0.00,15.00,1780.00,240.00,620.00,365.00,180.00,375.00
5350244.01,5677.00,1.43,2605.00,1560.00,165.00,810.00,40.00,10.00,20.00,2600.00,255.00,830.00,600.00,380.00,540.00
5350244.02,3779.00,1.43,1440.00,790.00,85.00,520.00,30.00,10.00,10.00,1440.00,110.00,495.00,365.00,160.00,305.00
5350245.00,6934.00,1.42,3120.00,1860.00,135.00,955.00,125.00,25.00,30.00,3120.00,415.00,965.00,750.00,340.00,655.00
5350246.00,3595.00,1.07,1610.00,1070.00,100.00,390.00,25.00,0.00,25.00,1615.00,265.00,535.00,365.00,220.00,220.00
5350247.01,8727.00,17.29,4225.00,2785.00,325.00,990.00,90.00,10.00,15.00,4225.00,850.00,1320.00,880.00,395.00,780.00
5350247.02,7167.00,3.23,3390.00,2145.00,260.00,900.00,45.00,20.00,20.00,3390.00,465.00,1090.00,890.00,365.00,575.00
5350248.02,5671.00,1.21,1790.00,940.00,130.00,635.00,45.00,0.00,30.00,1790.00,230.00,465.00,440.00,190.00,465.00
5350248.03,2619.00,3.73,1255.00,650.00,95.00,480.00,10.00,0.00,15.00,1250.00,125.00,365.00,325.00,175.00,260.00
5350248.04,4771.00,1.48,2305.00,1210.00,120.00,745.00,180.00,30.00,25.00,2300.00,345.00,635.00,600.00,225.00,495.00
5350248.05,4332.00,1.12,1805.00,1020.00,170.00,545.00,55.00,0.00,0.00,1805.00,215.00,445.00,575.00,210.00,355.00
5350249.01,4650.00,0.83,1945.00,1250.00,115.00,535.00,35.00,0.00,10.00,1945.00,220.00,700.00,495.00,185.00,355.00
5350249.03,5696.00,2.96,2595.00,1635.00,170.00,720.00,45.00,0.00,20.00,2600.00,325.00,795.00,685.00,245.00,545.00
5350249.04,3344.00,0.69,1490.00,895.00,140.00,385.00,40.00,15.00,10.00,1490.00,155.00,555.00,365.00,135.00,275.00
5350249.05,5476.00,0.64,2075.00,995.00,190.00,725.00,125.00,0.00,45.00,2075.00,295.00,575.00,535.00,245.00,425.00
5350250.01,5432.00,1.38,2140.00,1355.00,185.00,540.00,55.00,0.00,10.00,2135.00,300.00,685.00,580.00,220.00,360.00
5350250.02,4928.00,1.93,2205.00,1505.00,135.00,490.00,55.00,15.00,10.00,2210.00,355.00,630.00,635.00,265.00,325.00
5350250.04,6206.00,0.48,2515.00,1325.00,115.00,970.00,70.00,10.00,25.00,2510.00,250.00,645.00,660.00,340.00,610.00
5350250.05,7607.00,0.67,2785.00,1560.00,240.00,860.00,70.00,10.00,50.00,2785.00,275.00,885.00,770.00,250.00,600.00
5350260.01,6748.00,0.72,2880.00,1260.00,130.00,1355.00,110.00,10.00,20.00,2885.00,335.00,640.00,745.00,560.00,605.00
5350260.04,4147.00,0.19,1465.00,590.00,10.00,690.00,145.00,10.00,15.00,1465.00,210.00,380.00,320.00,195.00,365.00
5350260.05,4020.00,0.25,980.00,395.00,10.00,475.00,70.00,10.00,20.00,980.00,160.00,170.00,225.00,185.00,240.00
5350260.06,3348.00,0.93,1505.00,585.00,55.00,780.00,65.00,0.00,10.00,1505.00,190.00,260.00,375.00,330.00,355.00
5350260.07,3670.00,0.34,1550.00,875.00,55.00,560.00,15.00,20.00,25.00,1550.00,175.00,430.00,335.00,345.00,260.00
5350261.00,5501.00,1.91,1935.00,840.00,95.00,915.00,80.00,0.00,0.00,1930.00,225.00,355.00,355.00,445.00,555.00
5350262.01,5736.00,0.67,2760.00,1335.00,105.00,1170.00,105.00,0.00,45.00,2765.00,315.00,665.00,640.00,585.00,560.00
5350262.02,6273.00,2.14,2635.00,1475.00,120.00,940.00,75.00,20.00,10.00,2640.00,350.00,805.00,655.00,375.00,455.00
5350263.02,3471.00,2.01,1475.00,955.00,70.00,350.00,85.00,15.00,0.00,1480.00,220.00,400.00,445.00,190.00,210.00
