X,Y,CTUID,CTNAME,PRUID,PRNAME,CMAUID,CMAPUID,CMANAME,CMATYPE
-79.3644357870535,43.6938556073498,"5350186.00","0186.00","35",Ontario,"535","35535",Toronto,B
-79.3359123802193,43.6972514032101,"5350187.00","0187.00","35",Ontario,"535","35535",Toronto,B
-79.3238996527115,43.6979859121828,"5350188.00","0188.00","35",Ontario,"535","35535",Toronto,B
-79.3074903504397,43.7011309630658,"5350189.00","0189.00","35",Ontario,"535","35535",Toronto,B
-79.3035633339783,43.7108131552487,"5350191.00","0191.00","35",Ontario,"535","35535",Toronto,B
-79.5047395275625,43.5979001575561,"5350204.00","0204.00","35",Ontario,"535","35535",Toronto,B
-79.5151151662321,43.5938899473997,"5350205.00","0205.00","35",Ontario,"535","35535",Toronto,B
-79.5185868238413,43.6015431489417,"5350207.00","0207.00","35",Ontario,"535","35535",Toronto,B
-79.5410560014046,43.6698044635216,"5350232.00","0232.00","35",Ontario,"535","35535",Toronto,B
-79.5531346808793,43.667129885188,"5350233.00","0233.00","35",Ontario,"535","35535",Toronto,B
-79.5652271159864,43.6644996348234,"5350234.00","0234.00","35",Ontario,"535","35535",Toronto,B
-79.4589836812711,43.6876766642943,"5350160.00","0160.00","35",Ontario,"535","35535",Toronto,B
-79.4517891291097,43.6893674020044,"5350161.00","0161.00","35",Ontario,"535","35535",Toronto,B
-79.4443534056781,43.6903209604787,"5350162.00","0162.00","35",Ontario,"535","35535",Toronto,B
-79.440678669825,43.6829677444692,"5350163.00","0163.00","35",Ontario,"535","35535",Toronto,B
-79.434704003262,43.6856276532979,"5350164.00","0164.00","35",Ontario,"535","35535",Toronto,B
-79.4980967744466,43.6190279977322,"5350209.00","0209.00","35",Ontario,"535","35535",Toronto,B
-79.5370677682424,43.6065879136087,"5350211.00","0211.00","35",Ontario,"535","35535",Toronto,B
-79.5060252043819,43.6893358007858,"5350174.00","0174.00","35",Ontario,"535","35535",Toronto,B
-79.5125864700201,43.7053490755685,"5350176.00","0176.00","35",Ontario,"535","35535",Toronto,B
-79.2968982440021,43.6930129215054,"5350180.00","0180.00","35",Ontario,"535","35535",Toronto,B
-79.3210801943317,43.691620158181,"5350182.00","0182.00","35",Ontario,"535","35535",Toronto,B
-79.4976617986632,43.6397212236151,"5350216.00","0216.00","35",Ontario,"535","35535",Toronto,B
-79.4861628431083,43.6367880695159,"5350217.00","0217.00","35",Ontario,"535","35535",Toronto,B
-79.5093501705033,43.6442555230975,"5350218.00","0218.00","35",Ontario,"535","35535",Toronto,B
-79.5185338136333,43.6517304460097,"5350226.00","0226.00","35",Ontario,"535","35535",Toronto,B
-79.5087397568991,43.6512086758838,"5350227.00","0227.00","35",Ontario,"535","35535",Toronto,B
-79.5024974859006,43.6556957889557,"5350228.00","0228.00","35",Ontario,"535","35535",Toronto,B
-79.5112631995107,43.656498693672,"5350229.00","0229.00","35",Ontario,"535","35535",Toronto,B
-79.2911889667789,43.7366347549059,"5350350.00","0350.00","35",Ontario,"535","35535",Toronto,B
-79.1888157296943,43.7518597898689,"5350330.00","0330.00","35",Ontario,"535","35535",Toronto,B
-79.550233023508,43.6017785158194,"5350212.00","0212.00","35",Ontario,"535","35535",Toronto,B
-79.5243983437397,43.6312675339511,"5350214.00","0214.00","35",Ontario,"535","35535",Toronto,B
-79.47073879469,43.7435618639437,"5350296.00","0296.00","35",Ontario,"535","35535",Toronto,B
-79.5148647788026,43.637985696853,"5350219.00","0219.00","35",Ontario,"535","35535",Toronto,B
-79.5680631269156,43.630437885018,"5350220.00","0220.00","35",Ontario,"535","35535",Toronto,B
-79.5154879879724,43.6923249398121,"5350242.00","0242.00","35",Ontario,"535","35535",Toronto,B
-79.5635554034611,43.7191713228822,"5350245.00","0245.00","35",Ontario,"535","35535",Toronto,B
-79.5697523570829,43.7297515655049,"5350246.00","0246.00","35",Ontario,"535","35535",Toronto,B
-79.3704751982192,43.7830584570157,"5350304.03","0304.03","35",Ontario,"535","35535",Toronto,B
-79.3507733776051,43.7765328075783,"5350304.04","0304.04","35",Ontario,"535","35535",Toronto,B
-79.4943312682156,43.7571282038398,"5350311.02","0311.02","35",Ontario,"535","35535",Toronto,B
-79.5031720495867,43.7541790958019,"5350311.03","0311.03","35",Ontario,"535","35535",Toronto,B
-79.4238598861714,43.6672501040629,"5350094.00","0094.00","35",Ontario,"535","35535",Toronto,B
-79.429322259903,43.6660797618605,"5350095.00","0095.00","35",Ontario,"535","35535",Toronto,B
-79.4514984651246,43.6628445383785,"5350098.00","0098.00","35",Ontario,"535","35535",Toronto,B
-79.4570371924379,43.6588882230569,"5350099.00","0099.00","35",Ontario,"535","35535",Toronto,B
-79.4067334796358,43.7711965364866,"5350307.07","0307.07","35",Ontario,"535","35535",Toronto,B
-79.3776232721461,43.656427879292,"5350034.02","0034.02","35",Ontario,"535","35535",Toronto,B
-79.4221803610349,43.7589218807829,"5350299.01","0299.01","35",Ontario,"535","35535",Toronto,B
-79.412764313879,43.7634617101094,"5350299.02","0299.02","35",Ontario,"535","35535",Toronto,B
-79.3965366651219,43.6388432492647,"5350012.01","0012.01","35",Ontario,"535","35535",Toronto,B
-79.3794773746562,43.6607612181664,"5350034.01","0034.01","35",Ontario,"535","35535",Toronto,B
-79.3832338595098,43.7712508992637,"5350305.03","0305.03","35",Ontario,"535","35535",Toronto,B
-79.3732113181344,43.7675743136613,"5350305.04","0305.04","35",Ontario,"535","35535",Toronto,B
-79.4122033654575,43.7705409900288,"5350307.03","0307.03","35",Ontario,"535","35535",Toronto,B
-79.4103000579883,43.7647281325583,"5350307.04","0307.04","35",Ontario,"535","35535",Toronto,B
-79.4133996468071,43.778515703152,"5350307.05","0307.05","35",Ontario,"535","35535",Toronto,B
-79.4124136917416,43.7755714803066,"5350307.06","0307.06","35",Ontario,"535","35535",Toronto,B
-79.2579308724546,43.7756926353886,"5350368.01","0368.01","35",Ontario,"535","35535",Toronto,B
-79.2532737758956,43.7627746409752,"5350368.02","0368.02","35",Ontario,"535","35535",Toronto,B
-79.3761555068356,43.6456170926309,"5350013.01","0013.01","35",Ontario,"535","35535",Toronto,B
-79.3745968565835,43.64231990277,"5350013.02","0013.02","35",Ontario,"535","35535",Toronto,B
-79.4938256189033,43.7478404514135,"5350311.04","0311.04","35",Ontario,"535","35535",Toronto,B
-79.5274029199928,43.7647487839752,"5350316.01","0316.01","35",Ontario,"535","35535",Toronto,B
-79.509617747408,43.7546999445409,"5350312.02","0312.02","35",Ontario,"535","35535",Toronto,B
-79.5222116199972,43.7444955917176,"5350312.03","0312.03","35",Ontario,"535","35535",Toronto,B
